1	0	0	0
1	1	5186.1	-21.2
2	0	0	0
2	1	-4298.3	-39.318
2	2	-396.64	-9.6129
3	0	0	0
3	1	-696.88	17.146
3	2	568.17	-8.7142
3	3	-388.25	-6.3246
4	0	0	0
4	1	1508.6	9.4078
4	2	-907.45	3.9131
4	3	250.58	10.667
4	4	-224.66	-0.22185
5	0	0	0
5	1	445.3	-3.05
5	2	1321.1	11.528
5	3	-626.4	9.4124
5	4	-87.188	8.4304
5	5	74.576	-0.35078
6	0	0	0
6	1	-328.91	-13.232
6	2	951.95	-26.9
6	3	648.58	-1.9926
6	4	-333.96	-2.1827
6	5	1.6288	-0.46536
6	6	29.42	1.0075
7	0	0	0
7	1	-2291.3	24.829
7	2	-700.85	8.6882
7	3	126.97	2.0478
7	4	296.37	3.7047
7	5	91.382	-4.9396
7	6	-61.514	-0.24218
7	7	-3.7541	0.12945
8	0	0	0
8	1	797.67	-13.406
8	2	-1205.8	5.6082
8	3	352.07	12.426
8	4	-574.83	10.694
8	5	229.87	1.4831
8	6	61.101	-2.0596
8	7	-37.352	1.0027
8	8	-1.3161	0.25068
9	0	0	0
9	1	-2509.8	0
9	2	1455.9	0
9	3	1037.3	0
9	4	-349.53	0
9	5	-283	0
9	6	146.14	0
9	7	28.627	0
9	8	-21.189	0
9	9	2.9234	0
10	0	0	0
10	1	413.59	0
10	2	0	0
10	3	661.12	0
10	4	572.67	0
10	5	-436.1	0
10	6	-49.584	0
10	7	-58.125	0
10	8	1.6365	0
10	9	-5.8405	0
10	10	-4.3928	0
11	0	0	0
11	1	46.639	0
11	2	531.76	0
11	3	-295.17	0
11	4	-622.74	0
11	5	142.58	0
11	6	-65.882	0
11	7	-138.89	0
11	8	-20.484	0
11	9	-10.578	0
11	10	-5.1687	0
11	11	-0.52198	0
12	0	0	0
12	1	-358.81	0
12	2	238.54	0
12	3	1623.1	0
12	4	-1266	0
12	5	233.81	0
12	6	62.49	0
12	7	0	0
12	8	0	0
12	9	7.663	0
12	10	-8.4892	0
12	11	-1.1126	0
12	12	0.45421	0
13	0	0	0
13	1	-1557.2	0
13	2	309.5	0
13	3	2309.6	0
13	4	-393.65	0
13	5	-695.88	0
13	6	-45.155	0
13	7	187	0
13	8	42.837	0
13	9	40.844	0
13	10	8.5165	0
13	11	-2.0074	0
13	12	-1.4194	0
13	13	-0.50107	0
